,map_unit_id,map_unit_name,meadow,map_unit_area,breed_pre,current_breed_pre,breed_overall_pre,breed_facres_pre,summer_pre,current_summer_pre,summer_overall_pre,summer_facres_pre,winter_pre,current_winter_pre,winter_overall_pre,winter_facres_pre,breed_post,current_breed_post,breed_overall_post,breed_facres_post,summer_post,current_summer_post,summer_overall_post,summer_facres_post,winter_post,current_winter_post,winter_overall_post,winter_facres_post,breed_delta,summer_delta,winter_delta,mgmt_multiplier,meadow_multiplier,breed_credits,summer_credits,winter_credits,habitat_type,credits,total_contribution,reserve_credits,saleable_credits
0,1,First Creek Disturbed Sagebrush ,No Meadow,514.0481305,0.0,0.707851543740923,0.0,0.0,0.0,0.701359662741895,0.0,0.0,0.355,0.4327895184903,0.1536402790640565,78.97849822237653,0.0,0.707851543740923,0.0,0.0,0.0,0.701359662741895,0.0,0.0,0.355,0.4327895184903,0.1536402790640565,78.97849822237653,0.0,0.0,0.0,1.2000000211150128,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
1,2,First Creek Meadow-U,Unaltered,4.547157718,0.0,0.68879386144025,0.0,0.0,0.3,0.699352720609078,0.2098058161827234,0.95402013633656,0.275,0.360467274601643,0.09912850051545184,0.4507529261926038,0.0,0.68879386144025,0.0,0.0,0.46155,0.699352720609078,0.32278624819712,1.467759979753798,0.275,0.360467274601643,0.09912850051545184,0.4507529261926038,0.0,0.5137398434172379,0.0,1.2,8.0,0.0,4.726406559438588,0.0,Late Brood-Rearing,4.726406559438588,0.11,0.5199047215382446,4.206501837900343
2,3,First Creek Mountain Sage Mix,No Meadow,842.3271952,0.21574,0.694079117444933,0.14974062879756983,126.13060386254135,0.220225,0.701220451882151,0.1544262740157467,130.07745025687058,0.6,0.397554729338879,0.23853283760332739,200.92269606150785,0.21574,0.694079117444933,0.14974062879756983,126.13060386254135,0.220225,0.701220451882151,0.1544262740157467,130.07745025687058,1.0,0.397554729338879,0.397554729338879,334.8711601025131,0.0,0.0,133.94846404100525,1.2000000133217792,0.0,0.0,0.0,160.73815863363816,Winter,160.73815863363816,0.11,17.6811974497002,143.05696118393797
3,4,NFLH Big Sagebrush,No Meadow,285.0895109,0.0,0.48458669615804,0.0,0.0,0.0,0.695553981572084,0.0,0.0,0.6,0.288295072643563,0.1729770435861378,49.31394075290001,0.0,0.48458669615804,0.0,0.0,0.0,0.695553981572084,0.0,0.0,0.875,0.288295072643563,0.25225818856311766,71.91616359797918,0.0,0.0,22.60222284507917,1.1999999999999997,0.0,0.0,0.0,27.122667414094998,Winter,27.122667414094998,0.11,2.98349341555045,24.13917399854455
4,5,NFLH Channel-U,Unaltered,25.47470026,0.004525,0.540333126006382,0.0024450073951788787,0.0622858305256653,0.0084375,0.691748729628375,0.0058366299062394145,0.14868639739000097,0.21,0.279646056330102,0.05872567182932141,1.4960188874190887,0.004525,0.540333126006382,0.0024450073951788787,0.0622858305256653,0.0084375,0.691748729628375,0.0058366299062394145,0.14868639739000097,0.21,0.279646056330102,0.05872567182932141,1.4960188874190887,0.0,0.0,0.0,1.2000000000000002,8.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
5,6,NFLH Disturbed Greasewood Mix,No Meadow,75.53118956,0.0,0.552023011777136,0.0,0.0,0.0,0.708235223801748,0.0,0.0,0.5,0.308739651434703,0.1543698257173515,11.659736568601438,0.0,0.552023011777136,0.0,0.0,0.0,0.708235223801748,0.0,0.0,0.5,0.308739651434703,0.1543698257173515,11.659736568601438,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
6,7,NFLH Disturbed Sagebrush,No Meadow,439.0405986,0.0,0.438047316931132,0.0,0.0,0.0,0.658609137171997,0.0,0.0,0.5,0.305802924655269,0.1529014623276345,67.12994954714,0.0,0.438047316931132,0.0,0.0,0.0,0.658609137171997,0.0,0.0,0.5,0.305802924655269,0.1529014623276345,67.12994954714,0.0,0.0,0.0,1.1999999984071559,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
7,8,NFLH Greasewood Mix 2,No Meadow,436.5244326,0.0,0.507174769809487,0.0,0.0,0.0,0.696951615597521,0.0,0.0,0.5,0.291780790070794,0.145890395035397,63.68472191461653,0.0,0.507174769809487,0.0,0.0,0.0,0.696951615597521,0.0,0.0,0.5,0.291780790070794,0.145890395035397,63.68472191461653,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
8,9,NFLH Meadow-A,Altered,1.44593919,,0.256482328687395,,,,0.697399096829551,,,,0.223125653607505,,,,0.256482328687395,,,,0.697399096829551,,,,0.223125653607505,,,,,,1.2,8.0,,,,None,,0.11,,
9,10,SFLH Big Sagebrush,No Meadow,838.2566957,0.0,0.544326251414702,0.0,0.0,0.0,0.761688972245666,0.0,0.0,0.6,0.332354813181493,0.1994128879088958,167.15918849850547,0.0,0.544326251414702,0.0,0.0,0.0,0.761688972245666,0.0,0.0,0.875,0.332354813181493,0.2908104615338064,243.7738165603205,0.0,0.0,76.61462806181504,1.2000000143798404,0.0,0.0,0.0,91.93755477588417,Winter,91.93755477588417,0.11,10.113131025347258,81.82442375053691
10,12,SFLH Disturbed Sagebrush,No Meadow,563.3727268,0.0,0.594238575812001,0.0,0.0,0.0,0.771864415314452,0.0,0.0,0.0,0.407927400969513,0.0,0.0,0.0,0.594238575812001,0.0,0.0,0.0,0.771864415314452,0.0,0.0,0.0,0.407927400969513,0.0,0.0,0.0,0.0,0.0,1.1999999999999997,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
11,13,SFLH Greasewood Mix 2,No Meadow,58.94992104,0.22499999999999998,0.544409772575791,0.12249219882955298,7.220905449018129,0.15794999999999998,0.794930154506159,0.1255592179042478,7.401705981299561,0.6,0.218706857870059,0.1312241147220354,7.735651201407888,0.22499999999999998,0.544409772575791,0.12249219882955298,7.220905449018129,0.15794999999999998,0.794930154506159,0.1255592179042478,7.401705981299561,1.0,0.218706857870059,0.218706857870059,12.89275200234648,0.0,0.0,5.157100800938592,1.2000000736066783,0.0,0.0,0.0,6.188521340723369,Winter,6.188521340723369,0.11,0.6807373474795706,5.507783993243798
12,14,SFLH Meadow-A,Altered,149.6917473,0.3,0.479607223363888,0.1438821670091664,21.537972984912532,0.19320589375,0.710820991606804,0.1373348049796538,20.55788692250912,0.0,0.114365791306896,0.0,0.0,0.3625,0.479607223363888,0.1738576184694094,26.025050690102645,0.19320589375,0.710820991606804,0.1373348049796538,20.55788692250912,0.0,0.114365791306896,0.0,0.0,4.487077705190114,0.0,0.0,1.2,8.0,5.3844932462281365,0.0,0.0,Breeding,5.3844932462281365,0.11,0.592294257085095,4.792198989143041
13,15,SFLH Meadow-U,Unaltered,30.50475985,0.3,0.51871260014527,0.15561378004358098,4.7469609895801606,0.3,0.773485828246643,0.2320457484739929,7.078499831412657,0.0,0.224713466394303,0.0,0.0,0.45,0.51871260014527,0.2334206700653715,7.120441484370241,0.92875,0.773485828246643,0.7183749629840697,21.913855728081685,0.0,0.224713466394303,0.0,0.0,2.3734804947900807,14.835355896669029,0.0,1.2,8.0,2.848176593748097,136.48527424935506,0.0,Late Brood-Rearing,136.48527424935506,0.11,15.013380167429057,121.471894081926
14,16,SFLH Sodic Mix 1,No Meadow,34.59620489,0.0,0.560575492631376,0.0,0.0,0.3,0.796757873776671,0.23902736213300127,8.26943959466954,0.0,0.230499980511603,0.0,0.0,0.0,0.560575492631376,0.0,0.0,0.49375,0.796757873776671,0.3933992001772313,13.61011933289362,0.0,0.230499980511603,0.0,0.0,0.0,5.340679738224079,0.0,1.2000000716266095,0.0,0.0,6.408816068403676,0.0,Late Brood-Rearing,6.408816068403676,0.11,0.7049697675244044,5.703846300879272
15,17,Snowstorm Mountains Disturbed Sagebrush,No Meadow,1004.239271,0.3,0.707781694390809,0.21233450831724268,213.23465184065122,0.3,0.700099377216477,0.2100298131649431,210.92018646102866,0.315,0.442046501219534,0.1392446478841532,139.8349436818337,0.518,0.707781694390809,0.36663091769443906,368.1851655115245,1.0,0.700099377216477,0.700099377216477,703.0672882034289,0.315,0.442046501219534,0.1392446478841532,139.8349436818337,154.95051367087325,492.14710174240025,0.0,1.2,0.0,185.9406164050479,590.5765220908803,0.0,Late Brood-Rearing,590.5765220908803,0.11,64.96341742999684,525.6131046608834
16,18,Snowstorm Mountains Meadow-U,Unaltered,14.13400536,0.0,0.702529813816298,0.0,0.0,0.0,0.70390684642489,0.0,0.0,0.0,0.448981608663286,0.0,0.0,0.0,0.702529813816298,0.0,0.0,0.0,0.70390684642489,0.0,0.0,0.0,0.448981608663286,0.0,0.0,0.0,0.0,0.0,1.1999999999999997,8.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
17,19,Snowstorm Mountains Mountain Sagebrush Mix,No Meadow,1525.225901,0.3,0.686484172959898,0.20594525188796942,314.1130323675001,0.3,0.697558601959977,0.20926758058799308,319.18033415241183,0.6,0.385346638433065,0.23120798305983897,352.64440428083566,0.95,0.686484172959898,0.6521599643119032,994.6912691637503,0.92875,0.697558601959977,0.6478575515703286,988.1291178135085,1.0,0.385346638433065,0.385346638433065,587.7406738013927,680.5782367962502,668.9487836610967,235.0962695205571,1.2,0.0,816.6938841555002,802.738540393316,282.1155234246685,Breeding,816.6938841555002,0.11,89.83632725710503,726.8575568983952
18,28,Spring Creek Big Sagebrush,No Meadow,1308.039248,0.20902500000000002,0.710794251218755,0.14857376836100025,194.34032023944897,0.22331250000000002,0.6942088749739,0.15502551939260908,202.77946380711782,0.6,0.436887034085066,0.2621322204510396,342.8792325153481,0.20902500000000002,0.710794251218755,0.14857376836100025,194.34032023944897,0.22331250000000002,0.6942088749739,0.15502551939260908,202.77946380711782,0.875,0.436887034085066,0.3822761548244328,500.03221408488264,0.0,0.0,157.15298156953452,1.1999999999999995,0.0,0.0,0.0,188.58357788344134,Winter,188.58357788344134,0.11,20.74419356717855,167.8393843162628
19,29,Spring Creek Big Sagebrush Bottom,No Meadow,125.1947221,0.0,0.752501441572742,0.0,0.0,0.0,0.706635918834768,0.0,0.0,0.6,0.455495158013803,0.2732970948082818,34.215353835260196,0.0,0.752501441572742,0.0,0.0,0.0,0.706635918834768,0.0,0.0,0.975,0.455495158013803,0.44410777906345794,55.599949982297815,0.0,0.0,21.38459614703762,1.1999999999999997,0.0,0.0,0.0,25.661515376445138,Winter,25.661515376445138,0.11,2.8227666914089653,22.838748685036173
20,31,Spring Creek Disturbed Sagebrush,No Meadow,446.5607843,0.0,0.70465370656243,0.0,0.0,0.0,0.70347676586595,0.0,0.0,0.34,0.481693048535859,0.16377563650219207,73.1357766856506,0.0,0.70465370656243,0.0,0.0,0.0,0.70347676586595,0.0,0.0,0.34,0.481693048535859,0.16377563650219207,73.1357766856506,0.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
21,32,Spring Creek Disturbed Sagebrush 2,No Meadow,373.9286888,0.0,0.709670636703423,0.0,0.0,0.0,0.710093302269989,0.0,0.0,0.0,0.471268109667909,0.0,0.0,0.0,0.709670636703423,0.0,0.0,0.0,0.710093302269989,0.0,0.0,0.0,0.471268109667909,0.0,0.0,0.0,0.0,0.0,1.1999999999999997,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
22,33,Spring Creek Greasewood Mix,No Meadow,204.8487452,0.0,0.682096361791765,0.0,0.0,0.0,0.65219573837159,0.0,0.0,0.0,0.240438635332574,0.0,0.0,0.0,0.682096361791765,0.0,0.0,0.0,0.65219573837159,0.0,0.0,0.0,0.240438635332574,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
