,map_unit_id,b_trigger,b_sage_cover,b_shrub_cover,b_cover,b_forb_cover,b_forb_rich,b_foraging,b_pre_mod,b_brotec_cover,b_site_scale,b_local_scale,b_score,b_facres,l_forb_cover,l_forb_rich,l_foraging,l_grass_cover,l_cover,l_pre_mod,l_brotec_cover,l_dist_sage,l_site_scale,l_local_scale,l_score,l_facres,w_sage_height,w_sage_cover,w_site_scale,w_local_scale,w_score,w_facres
16,18,1.0,0.0,0.0,0.0,0.7,0.8,0.75,0.375,0.0,0.0,0.702529813816298,0.0,0.0,0.63,0.81,0.7200000000000001,0.61,0.61,0.6925,0.0,1.0,0.0,0.70390684642489,0.0,0.0,0.0,0.0,0.0,0.448981608663286,0.0,0.0
17,19,1.0,1.0,1.0,1.0,1.0,0.8,0.9,0.95,1.0,0.95,0.686484172959898,0.6521599643119032,994.6912691637503,1.0,0.81,0.9049999999999999,1.0,1.0,0.92875,1.0,1.0,0.92875,0.697558601959977,0.6478575515703286,988.1291178135085,1.0,1.0,1.0,0.385346638433065,0.385346638433065,587.7406738013927
18,28,1.0,0.73,0.52,0.604,0.0,0.65,0.325,0.4645,0.45,0.20902500000000002,0.710794251218755,0.14857376836100025,194.34032023944897,0.0,0.67,0.335,0.98,0.98,0.49625,0.45,1.0,0.22331250000000002,0.6942088749739,0.15502551939260908,202.77946380711782,1.0,0.75,0.875,0.436887034085066,0.3822761548244328,500.03221408488264
19,29,1.0,0.94,0.78,0.844,0.0,0.65,0.325,0.5845,0.0,0.0,0.752501441572742,0.0,0.0,0.0,0.67,0.335,0.58,0.58,0.39625,0.0,1.0,0.0,0.706635918834768,0.0,0.0,1.0,0.95,0.975,0.455495158013803,0.44410777906345794,55.599949982297815
20,31,0.0,0.0,0.0,TRIGGER,0.52,0.65,0.585,0.0,0.0,0.0,0.70465370656243,0.0,0.0,0.73,0.67,0.7000000000000001,0.81,0.81,0.7275,0.0,1.0,0.0,0.70347676586595,0.0,0.0,0.68,0.0,0.34,0.481693048535859,0.16377563650219207,73.1357766856506
21,32,0.0,0.0,0.0,TRIGGER,0.0,0.25,0.125,0.0,0.0,0.0,0.709670636703423,0.0,0.0,0.0,0.25,0.125,0.25,0.25,0.15625,0.0,1.0,0.0,0.710093302269989,0.0,0.0,0.0,0.0,0.0,0.471268109667909,0.0,0.0
22,33,0.0,0.0,0.86,TRIGGER,0.4,0.75,0.575,0.0,0.0,0.0,0.682096361791765,0.0,0.0,0.4,0.75,0.5750000000000001,0.25,0.25,0.49375,0.0,1.0,0.0,0.65219573837159,0.0,0.0,0.0,0.0,0.0,0.240438635332574,0.0,0.0
23,34,1.0,0.0,0.0,0.0,1.0,0.65,0.825,0.4125,1.0,0.4125,0.767870913381162,0.3167467517697293,1.6821124704495907,1.0,0.67,0.835,1.0,1.0,0.87625,1.0,1.0,0.87625,0.730830560559812,0.6403902786905352,3.4008508934075965,0.0,0.0,0.0,0.480089059342509,0.0,0.0
24,35,1.0,1.0,0.88,0.928,0.52,0.65,0.585,0.7565,0.23,0.17399499999999998,0.642108004631395,0.11172358226583955,27.921354685360416,0.73,0.67,0.7000000000000001,0.87,0.87,0.7425,0.23,1.0,0.170775,0.675180297899464,0.11530391537378097,28.816132211923286,1.0,1.0,1.0,0.403483918867155,0.403483918867155,100.83652331987247
25,36,0.0,0.0,0.0,TRIGGER,0.25,0.25,0.25,0.0,0.0,0.0,0.698701726151063,0.0,0.0,0.36,0.25,0.305,0.25,0.25,0.29125,0.0,1.0,0.0,0.703905823108341,0.0,0.0,0.0,0.0,0.0,0.444427132752857,0.0,0.0
26,37,0.0,0.0,0.0,TRIGGER,0.58,0.65,0.615,0.0,0.0,0.0,0.686800971473615,0.0,0.0,0.51,0.67,0.59,0.0,0.0,0.4425,0.0,1.0,0.0,0.697107342963523,0.0,0.0,0.0,0.0,0.0,0.43816868992562,0.0,0.0
27,38,0.0,0.0,0.0,TRIGGER,0.0,0.0,0.0,0.0,0.0,0.0,0.70517669093441,0.0,0.0,0.0,0.0,0.0,0.37,0.37,0.0925,0.0,1.0,0.0,0.703719942466072,0.0,0.0,0.0,0.0,0.0,0.436946192050573,0.0,0.0
28,39,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,
29,40,1.0,0.0,0.0,0.0,0.0,0.8,0.4,0.2,0.9,0.18000000000000002,0.679417742831366,0.1222951937096459,18.83815652928181,0.0,0.81,0.405,0.75,0.75,0.49125,0.9,0.2000799999999973,0.08846036999999882,0.702729549052867,0.06216371591914893,9.575599624193325,0.0,0.0,0.0,0.20191590975151,0.0,0.0
30,42,0.0,0.0,0.0,TRIGGER,0.52,0.8,0.66,0.0,0.0,0.0,0.711593423472892,0.0,0.0,0.73,0.81,0.77,0.51,0.51,0.7050000000000001,0.0,1.0,0.0,0.699369555616862,0.0,0.0,0.66,0.0,0.33,0.458586300980682,0.15133347932362506,23.34000308626223
31,8888,,,,,,,,,,,0.524200402,,,,,,,,,,,,0.557546858,,,,,,0.227503666,,
